V,E,T(n) std
1900.0, 1804050.0, 140.384714
1900.0, 1804050.0, 182.254526
1900.0, 1804050.0, 112.842579
1900.0, 1804050.0, 195.452736
1900.0, 1804050.0, 108.114726
1900.0, 1804050.0, 122.994903
1900.0, 1804050.0, 51.149896
1900.0, 1804050.0, 167.765008
1900.0, 1804050.0, 136.405162
1900.0, 1804050.0, 110.370166
1900.0, 1804050.0, 158.545123
1900.0, 1804050.0, 49.30588
1900.0, 1804050.0, 264.879928
1900.0, 1804050.0, 224.756127
1900.0, 1804050.0, 256.879931
1900.0, 1804050.0, 195.202178
1900.0, 1804050.0, 314.839854
1900.0, 1804050.0, 254.465883
1900.0, 1804050.0, 134.835573
1900.0, 1804050.0, 47.271931
1900.0, 1804050.0, 199.758749
1900.0, 1804050.0, 36.640884
1900.0, 1804050.0, 208.976302
1900.0, 1804050.0, 129.427299
1900.0, 1804050.0, 208.382266
1900.0, 1804050.0, 109.611352
1900.0, 1804050.0, 110.576704
1900.0, 1804050.0, 190.054596
1900.0, 1804050.0, 125.380335
1900.0, 1804050.0, 51.837286
1900.0, 1804050.0, 132.176904
1900.0, 1804050.0, 150.289829
2000.0, 1999000.0, 180.365309
2000.0, 1999000.0, 175.166438
2000.0, 1999000.0, 191.914117
2000.0, 1999000.0, 24.294271
2000.0, 1999000.0, 116.892668
2000.0, 1999000.0, 486.379966
2000.0, 1999000.0, 215.473451
2000.0, 1999000.0, 170.364884
2000.0, 1999000.0, 254.313165
2000.0, 1999000.0, 267.27799
2000.0, 1999000.0, 270.526036
2000.0, 1999000.0, 255.530648
2000.0, 1999000.0, 118.780364
2000.0, 1999000.0, 222.867266
2000.0, 1999000.0, 203.94072
2000.0, 1999000.0, 43.985902
2000.0, 1999000.0, 202.704615
2000.0, 1999000.0, 130.091227
2000.0, 1999000.0, 126.060795
2000.0, 1999000.0, 60.663497
2000.0, 1999000.0, 191.675459
2000.0, 1999000.0, 199.167748
2000.0, 1999000.0, 99.810512
2000.0, 1999000.0, 154.250755
2000.0, 1999000.0, 113.069949
2000.0, 1999000.0, 188.38426
2000.0, 1999000.0, 119.776041
2000.0, 1999000.0, 202.097452
2000.0, 1999000.0, 312.057132
2000.0, 1999000.0, 191.41773
2000.0, 1999000.0, 168.60687
2000.0, 1999000.0, 136.512178
2000.0, 1999000.0, 85.968257
2000.0, 1999000.0, 162.872623
2000.0, 1999000.0, 135.352596
2000.0, 1999000.0, 212.002549
2000.0, 1999000.0, 160.372253
2000.0, 1999000.0, 89.425047
2000.0, 1999000.0, 143.464559
2000.0, 1999000.0, 71.212906
